Minute,TVC,Label,MQ135,MQ136,MQ137,MQ138,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9
169,2.40975,1,14.81,13.57,12.63,17.88,10.39,22.44,8.43,9.49,13.26,42.38,12.57
170,2.40975,1,14.75,13.52,12.68,17.73,10.39,22.64,8.43,9.83,13.26,45.57,12.42
171,2.40975,1,14.94,13.57,12.68,17.73,10.43,23.18,8.43,9.45,13.26,42.94,12.47
172,2.40975,1,14.81,13.52,12.73,17.73,10.31,23.29,8.63,9.57,13.26,42.94,12.52
173,2.40975,1,14.81,13.52,12.73,17.73,10.39,23.4,8.46,9.45,13.32,43.22,12.52
174,2.40975,1,14.81,13.46,12.73,17.73,10.35,22.54,8.43,9.53,13.32,43.22,12.87
175,2.40975,1,15.18,13.36,12.78,17.73,10.31,22.75,8.4,9.49,13.32,44.07,12.98
176,2.40975,1,14.87,13.41,12.78,17.73,10.35,22.44,8.4,9.57,13.32,43.78,12.08
177,2.40975,1,14.94,13.41,12.78,17.73,10.31,22.33,8.4,9.53,13.32,42.11,12.62
178,2.40975,1,14.94,13.63,12.83,17.73,10.31,22.33,8.4,9.53,13.32,43.78,12.08
179,2.40975,1,14.23,12.58,12.43,16.9,9.57,21.43,7.89,9.16,12.93,42.38,11.89
180,2.40975,1,14.75,13.25,12.78,17.65,10.27,22.33,8.37,9.31,13.32,43.5,12.32
181,2.65592,1,14.69,13.25,12.78,17.65,10.27,22.13,8.4,9.53,13.32,43.5,12.72
182,2.65592,1,14.69,13.3,12.83,17.57,10.19,22.03,8.33,9.42,13.32,43.22,12.57
183,2.65592,1,14.64,13.25,12.78,17.57,10.19,22.13,8.3,9.49,13.32,42.94,12.67
184,2.65592,1,14.75,13.25,12.83,17.65,10.23,22.23,8.33,9.57,13.32,42.66,12.87
185,2.65592,1,15.12,13.2,12.78,17.5,10.15,22.13,8.27,9.45,13.32,47.48,12.57
186,2.65592,1,14.64,13.14,12.78,17.5,10.15,22.13,8.3,9.53,13.32,42.94,12.67
187,2.65592,1,14.58,13.41,12.88,17.5,10.15,22.13,8.24,9.49,13.32,42.94,12.32
188,2.65592,1,14.58,13.2,12.88,17.5,10.15,22.13,8.5,9.53,13.32,46.83,11.85
189,2.65592,1,14.58,13.41,12.88,17.57,10.15,22.13,8.2,9.57,13.32,44.37,12.72
190,2.65592,1,14.64,13.2,12.88,17.5,10.11,22.13,8.27,9.53,13.32,42.66,13.08
191,2.65592,1,14.58,13.2,12.83,17.42,10.03,22.03,8.24,9.49,13.26,44.66,12.42
192,2.65592,1,14.58,13.2,12.83,17.42,10.03,22.03,8.2,9.42,13.26,43.22,12.67
193,2.65592,1,14.64,13.25,12.94,17.42,10.11,22.13,8.24,9.72,13.37,43.78,12.72
194,2.65592,1,14.64,13.14,12.94,17.42,9.99,22.03,8.24,9.34,13.32,43.22,12.08
195,2.65592,1,14.52,12.99,12.83,17.27,9.91,21.83,8.11,9.6,13.26,42.94,12.18
196,2.65592,1,14.69,13.09,12.94,17.42,9.99,22.03,8.2,9.53,13.32,43.5,12.27
197,2.65592,1,14.69,13.04,12.94,17.34,9.95,22.03,8.2,9.49,13.32,43.78,12.03
198,2.65592,1,14.69,12.99,12.94,17.42,9.95,22.64,8.17,9.57,13.32,43.22,11.94
199,2.65592,1,14.69,12.89,12.99,17.34,9.95,22.86,8.17,9.45,13.32,43.78,12.18
200,2.65592,1,14.69,13.04,12.99,17.42,9.91,22.96,8.14,9.6,13.32,45.57,11.99
201,2.65592,1,14.69,13.04,12.99,17.5,10.03,23.29,8.14,9.57,13.37,43.78,11.62
202,2.65592,1,14.69,12.94,12.99,17.27,9.87,22.86,8.11,9.57,13.32,42.66,12.42
203,2.65592,1,14.75,12.78,12.99,17.27,9.87,23.07,8.14,9.57,13.32,43.5,12.62
204,2.65592,1,15,12.73,12.99,17.27,9.8,22.96,8.08,9.6,13.49,43.78,12.23
205,2.65592,1,14.87,12.89,13.04,17.34,9.87,23.07,8.14,9.6,13.32,42.94,11.99
206,2.65592,1,14.87,12.89,12.99,17.27,9.83,22.54,8.14,9.6,13.32,43.22,12.57
207,2.65592,1,14.64,12.94,13.04,17.34,9.87,22.33,8.27,9.6,13.32,42.94,12.72
208,2.65592,1,14.75,12.89,13.04,17.27,9.76,21.73,8.14,9.57,13.26,43.22,12.47
209,2.65592,1,14.75,12.83,13.09,17.19,9.83,21.73,8.11,9.72,13.26,43.22,12.37
210,2.65592,1,14.75,12.83,13.04,17.27,9.8,21.73,8.2,9.64,13.32,44.37,12.03
211,2.65592,1,14.75,12.83,13.14,17.34,9.83,21.83,8.14,9.64,13.32,42.11,12.77
212,2.65592,1,14.64,12.83,13.09,17.34,9.87,21.73,8.14,9.64,13.37,43.22,12.67
213,2.65592,1,14.64,12.78,13.09,17.27,9.8,21.73,8.11,9.57,13.32,44.66,12.18
214,2.65592,1,14.28,11.95,13.09,16.61,9.17,21.05,7.65,9.75,13.21,41.84,11.75
215,2.65592,1,14.81,12.68,13.09,17.27,9.76,21.73,8.01,9.49,13.26,41.05,12.67
216,2.65592,1,14.58,12.58,13.04,17.12,9.68,21.63,8.01,9.64,13.26,42.38,12.18
217,2.65592,1,14.69,12.63,13.04,17.19,9.72,21.73,8.08,9.68,13.32,43.22,12.32
218,2.65592,1,13.78,11.54,12.53,16.12,8.88,20.4,7.29,9.31,12.77,41.58,11.66
219,2.65592,1,14.69,12.58,13.09,17.19,9.68,21.63,8.01,9.72,13.26,41.58,12.27
220,2.65592,1,14.64,12.43,13.14,17.12,9.64,21.53,7.98,9.79,13.32,43.22,12.67
221,2.65592,1,14.75,12.38,13.09,17.12,9.64,21.53,7.98,9.64,13.26,42.66,12.62
222,2.65592,1,14.46,12.34,13.25,17.12,9.72,21.53,7.95,9.68,13.26,42.94,12.62
223,2.65592,1,14.46,12.34,13.09,17.12,9.61,21.53,7.95,9.64,13.32,42.66,12.67
224,2.65592,1,13.03,10.75,12.24,15.33,8.15,19.51,6.85,8.99,12.45,40.8,10.95
225,2.65592,1,14.46,12.43,13.14,17.12,9.61,21.53,7.98,9.45,13.26,43.5,12.67
226,2.65592,1,14.46,12.43,13.14,17.12,9.57,21.43,7.98,9.6,13.26,43.22,12.37
227,2.65592,1,14.52,12.43,13.2,17.12,9.61,21.53,7.89,9.57,13.26,41.58,12.27
228,2.65592,1,13.56,11.36,12.53,16.05,8.71,20.04,7.21,9.09,12.72,40.29,11.17
229,2.65592,1,14.52,12.19,13.3,16.97,9.46,21.53,7.86,9.95,13.37,45.57,11.99
230,2.65592,1,13.94,11.22,12.63,15.85,8.61,20.13,7.18,9.31,12.72,40.54,11.71
231,2.65592,1,13.56,11.09,12.63,15.78,8.54,20.13,7.15,9.27,12.72,44.37,11.04
232,2.65592,1,13.56,11.18,12.63,15.85,8.57,20.22,7.18,9.27,12.72,40.54,11.8
233,2.65592,1,12.72,10.18,12.19,14.82,7.8,19.09,6.51,8.95,12.3,37.9,10.33
234,2.65592,1,12.77,10.18,12.19,14.89,7.86,19.18,6.53,8.88,12.3,38.83,11.04
235,2.65592,1,12.77,10.26,12.19,14.82,7.83,19.18,6.53,9.09,12.35,36.78,10.82
236,2.65592,1,12.77,10.1,12.09,14.82,7.83,19.18,6.53,9.09,12.45,38.59,10.74
