MQ135,MQ136,MQ137,MQ138,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Label_1,Label_2,Label_3,Label_4
13.78,8.37,14.83,12.9,7.03,17.97,6.58,11.55,14.57,42.94,12.32,0,1,0,0
11.57,6.42,17.0,9.32,6.25,13.84,5.0,15.56,15.42,39.3,11.57,0,0,1,0
11.99,7.08,17.14,9.93,6.72,15.26,5.21,15.63,15.49,41.84,10.99,0,0,0,1
11.8,7.34,16.44,10.65,6.89,16.79,5.21,15.31,15.29,42.66,11.17,0,0,0,1
14.94,15.84,11.05,18.52,12.11,25.01,10.18,9.13,15.42,42.66,11.94,1,0,0,0
13.34,8.94,12.99,14.16,7.0,18.52,6.46,9.27,13.21,39.79,11.66,0,1,0,0
11.75,7.25,16.44,10.61,6.83,16.79,5.15,15.56,15.09,41.32,11.34,0,0,0,1
11.21,7.49,18.11,11.76,6.86,16.79,4.78,17.07,15.09,44.07,10.78,0,0,0,1
12.82,7.08,16.65,10.41,6.64,14.71,5.63,14.51,15.22,43.78,12.08,0,1,0,0
14.23,11.09,13.41,16.19,8.61,20.86,7.53,9.91,13.49,42.94,12.57,1,0,0,0
12.47,6.88,17.66,9.89,6.64,14.07,5.36,15.96,15.56,42.38,12.13,0,0,1,0
11.39,7.76,18.51,12.34,7.14,16.86,4.92,17.59,15.35,40.8,11.04,0,0,0,1
14.87,14.01,12.58,17.96,10.72,22.86,8.7,9.38,13.32,42.94,12.03,1,0,0,0
11.71,6.53,17.07,9.51,6.35,14.01,5.11,15.5,15.49,47.48,11.71,0,0,1,0
13.5,7.85,15.08,12.19,6.81,17.01,6.33,11.92,14.7,42.66,12.08,0,1,0,0
11.35,7.7,18.19,11.9,7.03,17.3,4.96,16.93,15.15,40.04,10.95,0,0,0,1
12.13,6.91,17.51,9.85,6.7,14.59,5.3,15.96,15.98,41.32,11.12,0,0,1,0
12.57,6.91,17.51,9.97,6.64,14.13,5.41,15.89,15.7,44.07,11.89,0,0,1,0
