MQ135,MQ136,MQ137,MQ138,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Label
11.75,7.22,16.44,10.57,6.81,16.79,5.13,15.69,15.09,40.8,10.57,4
11.89,7.64,18.75,12.49,7.09,15.78,4.84,18.37,15.49,42.11,10.91,4
12.37,7.19,16.86,10.2,6.86,15.78,5.28,15.69,15.56,41.58,11.21,4
13.56,11.36,12.53,16.05,8.71,20.04,7.21,9.09,12.72,40.29,11.17,1
10.74,7.11,17.43,11.22,6.43,16.11,4.54,16.36,14.57,39.79,10.57,4
10.53,6.85,17.36,11.17,6.04,13.73,4.09,17.59,14.51,37.9,10.17,4
13.08,7.52,15.51,11.22,6.64,16.04,5.96,12.75,14.96,42.38,12.13,2
14.81,15.26,11.4,18.2,11.59,23.51,9.63,8.95,15.09,43.5,12.42,1
11.44,7.49,18.11,12.05,6.97,15.78,4.76,17.22,14.89,39.3,10.91,4
12.62,6.99,17.58,10.05,6.72,14.24,5.48,15.96,15.7,43.22,11.99,3
11.35,7.64,18.04,11.9,7.03,17.15,5.0,16.43,15.22,41.32,11.17,4
12.04,6.99,16.51,10.05,6.67,15.78,5.11,15.83,15.35,41.32,10.99,4
12.18,7.08,16.44,10.24,6.75,15.97,5.15,15.63,15.29,41.32,11.26,4
11.66,7.73,18.43,12.34,7.17,16.65,4.92,17.36,15.29,41.58,10.91,4
11.94,7.61,18.59,12.49,7.09,15.39,4.86,19.02,15.49,41.32,11.17,4
11.89,7.61,18.67,12.54,7.09,15.91,4.86,18.45,15.56,41.58,10.95,4
11.94,7.64,18.51,12.39,7.06,15.84,4.84,18.21,15.49,40.8,11.34,4
11.39,7.49,17.29,11.22,6.94,17.3,5.15,15.44,15.09,42.38,11.21,4
12.47,6.97,17.07,10.12,6.67,14.59,5.52,14.93,15.42,42.66,11.89,3
11.66,7.28,18.35,12.14,6.83,15.2,4.68,18.53,15.29,40.54,10.61,4
12.04,6.85,17.58,9.77,6.64,14.47,5.28,15.89,15.7,41.84,11.85,3
12.37,7.52,17.29,11.35,6.97,17.37,5.17,15.56,15.15,40.29,11.43,4
11.85,7.37,16.51,10.7,6.92,16.86,5.23,15.31,15.29,41.58,10.99,4
14.46,11.49,13.36,16.47,8.92,21.05,7.68,9.91,13.49,42.94,12.57,1
11.8,7.31,16.44,10.61,6.83,16.79,5.17,15.31,15.22,42.38,11.08,4
13.03,10.75,12.24,15.33,8.15,19.51,6.85,8.99,12.45,40.8,10.95,1
12.13,7.19,17.14,10.16,6.86,15.71,5.3,15.83,15.56,41.84,11.26,4
11.57,7.82,18.51,12.29,7.17,16.86,4.94,17.51,15.35,40.29,11.52,4
11.85,7.58,18.67,12.49,7.09,15.71,4.84,18.77,15.56,41.05,11.17,4
12.42,6.94,17.21,10.01,6.64,14.3,5.45,15.63,15.56,42.66,12.27,3
12.08,6.83,17.51,9.77,6.64,14.47,5.3,15.83,15.7,44.96,11.85,3
11.44,7.61,17.96,11.81,7.03,17.15,5.04,16.43,15.09,40.8,11.04,4
11.35,7.67,17.96,12.29,7.14,16.04,4.9,17.51,14.96,39.3,10.95,4
11.44,7.7,18.19,12.0,7.06,17.15,5.0,16.64,15.15,40.54,10.87,4
11.44,7.76,18.19,12.0,7.11,17.15,5.02,17.0,15.22,41.05,10.82,4
11.71,7.49,17.58,11.39,6.94,17.15,5.09,15.83,15.09,42.38,11.17,4
14.94,14.3,12.63,18.12,10.84,22.96,8.84,9.42,13.37,44.66,12.23,1
13.83,8.57,14.71,13.21,7.11,18.2,6.69,11.28,14.38,42.94,12.13,2
11.62,7.73,18.35,12.44,7.17,16.11,4.92,17.74,15.22,40.8,11.04,4
10.95,7.49,18.43,11.95,6.92,16.44,4.76,17.51,15.15,39.79,11.39,4
11.39,7.49,17.88,12.1,6.94,15.78,4.78,17.36,14.96,40.29,10.49,4
11.35,7.58,18.27,12.24,7.06,15.97,4.84,17.67,15.22,38.59,10.78,4
11.26,7.08,17.07,10.87,6.53,16.72,4.86,15.31,14.76,39.79,10.95,4
14.87,15.9,10.58,18.36,12.15,23.96,10.22,9.27,17.34,43.22,12.03,1
11.85,7.58,18.67,12.49,7.09,15.71,4.86,18.45,15.42,40.29,11.26,4
11.99,7.11,16.86,10.05,6.75,15.58,5.19,15.5,15.56,42.11,11.12,4
13.18,7.52,15.39,11.49,6.64,16.44,6.03,12.4,14.89,44.37,11.99,2
11.44,7.58,17.88,11.62,7.0,17.15,5.04,16.23,15.09,39.55,11.04,4
13.29,7.58,15.45,11.26,6.61,16.11,5.98,12.7,14.89,41.84,11.85,2
14.28,10.54,13.68,15.78,8.21,20.31,7.27,10.03,13.6,43.5,12.37,2
11.13,7.4,17.81,11.53,6.75,16.58,4.76,16.57,14.96,39.3,10.61,4
11.35,7.73,18.11,12.39,7.17,16.31,4.92,17.07,14.96,38.83,10.91,4
11.94,7.67,18.67,12.49,7.11,15.84,4.88,18.69,15.56,42.38,11.39,4
11.66,7.22,17.21,11.04,6.67,16.93,4.94,15.44,14.76,39.55,11.12,4
13.03,7.37,15.71,11.08,6.61,15.97,5.98,12.91,14.96,43.78,11.8,2
11.39,7.67,18.04,11.9,7.06,17.08,5.0,16.64,15.02,44.37,10.91,4
11.57,7.79,18.43,12.1,7.14,17.22,4.98,17.36,15.42,41.84,11.17,4
13.78,11.54,12.53,16.12,8.88,20.4,7.29,9.31,12.77,41.58,11.66,1
12.08,6.83,17.51,9.81,6.64,14.42,5.26,15.83,15.63,42.94,11.57,3
12.98,8.7,12.99,13.82,6.83,18.2,6.25,9.42,12.99,39.55,11.39,2
12.87,7.25,15.77,10.91,6.59,15.71,5.84,13.11,15.02,42.66,11.85,2
